,tr,Sentence,tr,index,tr_shift,prev_tr,story_section,n_tokens,lemma,pos,tag,dep_rel,dep_head
1111,1111,waving at grief like,1111,A12.18,1.0,1110.0,A12,2225,"['wave', 'at', 'grief', 'like']","['VERB', 'ADP', 'NOUN', 'SCONJ']","['VBG', 'IN', 'NN', 'IN']","['advcl', 'prep', 'pobj', 'prep']","['keeps', 'waving', 'at', 'waving']"
1112,1112,a column of smoke.,1112,A12.18,1.0,1111.0,A12,2225,"['a', 'column', 'of', 'smoke', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['DT', 'NN', 'IN', 'NN', '.']","['det', 'pobj', 'prep', 'pobj', 'punct']","['column', 'like', 'column', 'of', 'keeps']"
1113,1113,No one knows what to,1113,A12.19,1.0,1112.0,A12,2225,"['no', 'one', 'know', 'what', 'to']","['DET', 'NOUN', 'VERB', 'PRON', 'PART']","['DT', 'NN', 'VBZ', 'WP', 'TO']","['det', 'nsubj', 'ccomp', 'dobj', 'aux']","['one', 'knows', 'drinks', 'say', 'say']"
1114,1114,"say, so everyone drinks.",1114,A12.19,1.0,1113.0,A12,2225,"['say', ',', 'so', 'everyone', 'drink', '.']","['VERB', 'PUNCT', 'ADV', 'PRON', 'VERB', 'PUNCT']","['VB', ',', 'RB', 'NN', 'VBZ', '.']","['xcomp', 'punct', 'advmod', 'nsubj', 'ROOT', 'punct']","['knows', 'drinks', 'drinks', 'drinks', 'drinks', 'drinks']"
1115,1115,Clara has lost track of time.,1115,A12.20,1.0,1114.0,A12,2225,"['Clara', 'have', 'lose', 'track', 'of', 'time', '.']","['PROPN', 'AUX', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['NNP', 'VBZ', 'VBN', 'NN', 'IN', 'NN', '.']","['nsubj', 'aux', 'ROOT', 'dobj', 'prep', 'pobj', 'punct']","['lost', 'lost', 'lost', 'lost', 'track', 'of', 'lost']"
1116,1116,Her phone rings.,1116,A12.21,1.0,1115.0,A12,2225,"['-PRON-', 'phone', 'ring', '.']","['DET', 'NOUN', 'NOUN', 'PUNCT']","['PRP$', 'NN', 'NNS', '.']","['poss', 'compound', 'ROOT', 'punct']","['rings', 'rings', 'rings', 'rings']"
1117,1117,A call from her,1117,A12.22,1.0,1116.0,A12,2225,"['a', 'call', 'from', '-PRON-']","['DET', 'NOUN', 'ADP', 'DET']","['DT', 'NN', 'IN', 'PRP$']","['det', 'ROOT', 'prep', 'poss']","['call', 'call', 'call', 'mom']"
1118,1118,mom. She ignores it.,1118,A12.22,1.0,1117.0,A12,2225,"['mom', '.', '-PRON-', 'ignore', '-PRON-', '.']","['NOUN', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT']","['NN', '.', 'PRP', 'VBZ', 'PRP', '.']","['pobj', 'punct', 'nsubj', 'ROOT', 'dobj', 'punct']","['from', 'call', 'ignores', 'ignores', 'ignores', 'ignores']"
1119,1119,,1119,,,,A12,2225,[],[],[],[],[]
1120,1120,,1120,,2.0,1118.0,A12,2225,[],[],[],[],[]
1121,1121,,1121,,1.0,1120.0,A12,2225,[],[],[],[],[]
1122,1122,,1122,,,,A12,2225,[],[],[],[],[]
1123,1123,The pull-out couch covered with,1123,B12.1,2.0,1121.0,B12,2225,"['the', 'pull', '-', 'out', 'couch', 'cover', 'with']","['DET', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'VERB', 'ADP']","['DT', 'VB', 'HYPH', 'RP', 'NN', 'VBN', 'IN']","['det', 'amod', 'punct', 'prt', 'nsubj', 'acl', 'prep']","['couch', 'couch', 'pull', 'pull', 'is', 'couch', 'covered']"
1124,1124,the Indian bedspread is empty.,1124,B12.1,1.0,1123.0,B12,2225,"['the', 'indian', 'bedspread', 'be', 'empty', '.']","['DET', 'ADJ', 'NOUN', 'AUX', 'ADJ', 'PUNCT']","['DT', 'JJ', 'NN', 'VBZ', 'JJ', '.']","['det', 'amod', 'pobj', 'ROOT', 'acomp', 'punct']","['bedspread', 'bedspread', 'with', 'is', 'is', 'is']"
1125,1125,"It’s 2 am, then",1125,B12.2,1.0,1124.0,B12,2225,"['-PRON-', '’', '2', 'am', ',', 'then']","['PRON', 'VERB', 'NUM', 'NOUN', 'PUNCT', 'ADV']","['PRP', 'VBZ', 'CD', 'NN', ',', 'RB']","['nsubj', 'ROOT', 'nummod', 'attr', 'punct', 'advmod']","['’s', '’s', 'am', '’s', 'am', 'am']"
1126,1126,"3, then 3:30…",1126,B12.2,1.0,1125.0,B12,2225,"['3', ',', 'then', '3:30', '…']","['NUM', 'PUNCT', 'ADV', 'NUM', 'PUNCT']","['CD', ',', 'RB', 'CD', 'NFP']","['appos', 'punct', 'advmod', 'appos', 'punct']","['am', 'am', 'am', 'am', 'am']"
1127,1127,Margaret keeps sight-reading Bach’s,1127,B12.3,1.0,1126.0,B12,2225,"['Margaret', 'keep', 'sight', '-', 'read', 'Bach', '’s']","['PROPN', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'PROPN', 'PART']","['NNP', 'VBZ', 'NN', 'HYPH', 'VBG', 'NNP', 'POS']","['nsubj', 'ROOT', 'npadvmod', 'punct', 'amod', 'poss', 'case']","['keeps', 'keeps', 'reading', 'reading', 'concerto', 'concerto', 'Bach']"
1128,1128,2nd violin concerto.,1128,B12.3,1.0,1127.0,B12,2225,"['2nd', 'violin', 'concerto', '.']","['ADJ', 'NOUN', 'PROPN', 'PUNCT']","['JJ', 'NN', 'NNP', '.']","['amod', 'compound', 'dobj', 'punct']","['concerto', 'concerto', 'keeps', 'keeps']"
1129,1129,,1129,,,,B12,2225,[],[],[],[],[]
1130,1130,Steven walks out of their bedroom.,1130,B12.4,2.0,1128.0,B12,2225,"['Steven', 'walk', 'out', 'of', '-PRON-', 'bedroom', '.']","['PROPN', 'VERB', 'SCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT']","['NNP', 'VBZ', 'IN', 'IN', 'PRP$', 'NN', '.']","['nsubj', 'ROOT', 'prep', 'prep', 'poss', 'pobj', 'punct']","['walks', 'walks', 'walks', 'out', 'bedroom', 'of', 'walks']"
1131,1131,“Do you know where she,1131,B12.5,1.0,1130.0,B12,2225,"['""', 'do', '-PRON-', 'know', 'where', '-PRON-']","['PUNCT', 'AUX', 'PRON', 'VERB', 'ADV', 'PRON']","['``', 'VBP', 'PRP', 'VB', 'WRB', 'PRP']","['punct', 'aux', 'nsubj', 'ROOT', 'advmod', 'nsubj']","['know', 'know', 'know', 'know', 'is', 'is']"
1132,1132,is? I can’t sleep…”,1132,B12.5,1.0,1131.0,B12,2225,"['be', '?', '-PRON-', 'can', 'not', 'sleep', '…', '""']","['AUX', 'PUNCT', 'PRON', 'VERB', 'PART', 'VERB', 'PUNCT', 'PUNCT']","['VBZ', '.', 'PRP', 'MD', 'RB', 'VB', 'NFP', ""''""]","['ccomp', 'punct', 'nsubj', 'aux', 'neg', 'ROOT', 'punct', 'punct']","['know', 'know', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep', 'sleep']"
1133,1133,He looks so distraught.,1133,B12.6,1.0,1132.0,B12,2225,"['-PRON-', 'look', 'so', 'distraught', '.']","['PRON', 'VERB', 'ADV', 'ADJ', 'PUNCT']","['PRP', 'VBZ', 'RB', 'JJ', '.']","['nsubj', 'ROOT', 'advmod', 'acomp', 'punct']","['looks', 'looks', 'distraught', 'looks', 'looks']"
1134,1134,“I always miss the,1134,B12.7,1.0,1133.0,B12,2225,"['""', '-PRON-', 'always', 'miss', 'the']","['PUNCT', 'PRON', 'ADV', 'VERB', 'DET']","['``', 'PRP', 'RB', 'VBP', 'DT']","['punct', 'nsubj', 'advmod', 'ccomp', 'det']","['says', 'miss', 'miss', 'says', 'signs']"
1135,1135,"signs,” says Steven.",1135,B12.7,1.0,1134.0,B12,2225,"['sign', ',', '""', 'say', 'Steven', '.']","['NOUN', 'PUNCT', 'PUNCT', 'VERB', 'PROPN', 'PUNCT']","['NNS', ',', ""''"", 'VBZ', 'NNP', '.']","['dobj', 'punct', 'punct', 'ROOT', 'nsubj', 'punct']","['miss', 'says', 'says', 'says', 'says', 'says']"
1136,1136,“I don’t listen until it’s too,1136,B12.8,1.0,1135.0,B12,2225,"['""', '-PRON-', 'do', 'not', 'listen', 'until', '-PRON-', '’', 'too']","['PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'ADP', 'PRON', 'VERB', 'ADV']","['``', 'PRP', 'VBP', 'RB', 'VB', 'IN', 'PRP', 'VBZ', 'RB']","['punct', 'nsubj', 'aux', 'neg', 'ROOT', 'mark', 'nsubj', 'advcl', 'advmod']","['listen', 'listen', 'listen', 'listen', 'listen', '’s', '’s', 'listen', 'late']"
1137,1137,late. And then something horrible happens.”,1137,B12.8,1.0,1136.0,B12,2225,"['late', '.', 'and', 'then', 'something', 'horrible', 'happen', '.', '""']","['ADJ', 'PUNCT', 'CCONJ', 'ADV', 'PRON', 'ADJ', 'VERB', 'PUNCT', 'PUNCT']","['JJ', '.', 'CC', 'RB', 'NN', 'JJ', 'VBZ', '.', ""''""]","['acomp', 'punct', 'cc', 'advmod', 'nsubj', 'amod', 'ROOT', 'punct', 'punct']","['’s', 'listen', 'happens', 'happens', 'happens', 'something', 'happens', 'happens', 'happens']"
1138,1138,,1138,,,,B12,2225,[],[],[],[],[]
1139,1139,Margaret closes her score. “I’ll,1139,B12.9,2.0,1137.0,B12,2225,"['Margaret', 'close', '-PRON-', 'score', '.', '""', '-PRON-', 'will']","['PROPN', 'VERB', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PRON', 'VERB']","['NNP', 'VBZ', 'PRP$', 'NN', '.', '``', 'PRP', 'MD']","['nsubj', 'ROOT', 'poss', 'dobj', 'punct', 'punct', 'nsubj', 'aux']","['closes', 'closes', 'score', 'closes', 'closes', 'wait', 'wait', 'wait']"
1140,1140,wait up for her.”,1140,B12.9,1.0,1139.0,B12,2225,"['wait', 'up', 'for', '-PRON-', '.', '""']","['VERB', 'ADP', 'ADP', 'PRON', 'PUNCT', 'PUNCT']","['VB', 'RP', 'IN', 'PRP', '.', ""''""]","['ROOT', 'prt', 'prep', 'pobj', 'punct', 'punct']","['wait', 'wait', 'wait', 'for', 'wait', 'wait']"
1141,1141,“But I always turn Sasha over to,1141,B12.10,1.0,1140.0,B12,2225,"['""', 'but', '-PRON-', 'always', 'turn', 'Sasha', 'over', 'to']","['PUNCT', 'CCONJ', 'PRON', 'ADV', 'VERB', 'PROPN', 'ADP', 'ADP']","['``', 'CC', 'PRP', 'RB', 'VBP', 'NNP', 'RP', 'IN']","['punct', 'cc', 'nsubj', 'advmod', 'ROOT', 'dobj', 'prt', 'prep']","['turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn', 'turn']"
1142,1142,"you, to her mom, to a nanny.”",1142,B12.10,1.0,1141.0,B12,2225,"['-PRON-', ',', 'to', '-PRON-', 'mom', ',', 'to', 'a', 'nanny', '.', '""']","['PRON', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT']","['PRP', ',', 'IN', 'PRP$', 'NN', ',', 'IN', 'DT', 'NN', '.', ""''""]","['pobj', 'punct', 'prep', 'poss', 'pobj', 'punct', 'prep', 'det', 'pobj', 'punct', 'punct']","['to', 'turn', 'turn', 'mom', 'to', 'to', 'turn', 'nanny', 'to', 'turn', 'turn']"
1143,1143,"“She’s almost 21,”",1143,B12.11,1.0,1142.0,B12,2225,"['""', '-PRON-', '’', 'almost', '21', ',', '""']","['PUNCT', 'PRON', 'VERB', 'ADV', 'NUM', 'PUNCT', 'PUNCT']","['``', 'PRP', 'VBZ', 'RB', 'CD', ',', ""''""]","['punct', 'nsubj', 'ccomp', 'advmod', 'attr', 'punct', 'punct']","['says', '’s', 'says', '21', '’s', 'says', 'says']"
1144,1144,"Margaret says quietly,",1144,B12.11,1.0,1143.0,B12,2225,"['Margaret', 'say', 'quietly', ',']","['PROPN', 'VERB', 'ADV', 'PUNCT']","['NNP', 'VBZ', 'RB', ',']","['nsubj', 'ROOT', 'advmod', 'punct']","['says', 'says', 'says', 'says']"
1145,1145,“The hard job,1145,B12.11,1.0,1144.0,B12,2225,"['""', 'the', 'hard', 'job']","['PUNCT', 'DET', 'ADJ', 'NOUN']","['``', 'DT', 'JJ', 'NN']","['punct', 'det', 'amod', 'nsubjpass']","['done', 'job', 'job', 'done']"
1146,1146,is done.”,1146,B12.11,1.0,1145.0,B12,2225,"['be', 'do', '.', '""']","['AUX', 'VERB', 'PUNCT', 'PUNCT']","['VBZ', 'VBN', '.', ""''""]","['auxpass', 'ccomp', 'punct', 'punct']","['done', 'says', 'says', 'says']"
1147,1147,Steven holds onto her.,1147,B12.12,1.0,1146.0,B12,2225,"['Steven', 'hold', 'onto', '-PRON-', '.']","['PROPN', 'VERB', 'ADP', 'PRON', 'PUNCT']","['NNP', 'VBZ', 'IN', 'PRP', '.']","['nsubj', 'ROOT', 'prep', 'pobj', 'punct']","['holds', 'holds', 'holds', 'onto', 'holds']"
1148,1148,,1148,,,,B12,2225,[],[],[],[],[]
1149,1149,"“It’s not just the boyfriend, that has her",1149,B12.13,2.0,1147.0,B12,2225,"['""', '-PRON-', '’', 'not', 'just', 'the', 'boyfriend', ',', 'that', 'have', '-PRON-']","['PUNCT', 'PRON', 'VERB', 'PART', 'ADV', 'DET', 'NOUN', 'PUNCT', 'DET', 'AUX', 'PRON']","['``', 'PRP', 'VBZ', 'RB', 'RB', 'DT', 'NN', ',', 'DT', 'VBZ', 'PRP']","['punct', 'nsubj', 'ccomp', 'neg', 'advmod', 'det', 'attr', 'punct', 'nsubj', 'aux', 'nsubj']","['saw', '’s', 'messed', '’s', 'boyfriend', 'boyfriend', '’s', 'messed', 'has', 'messed', 'messed']"
1150,1150,messed up… She saw my bank statement.”,1150,B12.13,1.0,1149.0,B12,2225,"['mess', 'up', '…', '-PRON-', 'see', '-PRON-', 'bank', 'statement', '.', '""']","['VERB', 'ADP', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT']","['VBN', 'RP', 'NFP', 'PRP', 'VBD', 'PRP$', 'NN', 'NN', '.', ""''""]","['ccomp', 'prt', 'punct', 'nsubj', 'ROOT', 'poss', 'compound', 'dobj', 'punct', 'punct']","['saw', 'messed', 'saw', 'saw', 'saw', 'statement', 'statement', 'saw', 'saw', 'saw']"
1151,1151,,1151,,,,B12,2225,[],[],[],[],[]
1152,1152,Margaret’s blood leaves her body.,1152,B12.14,2.0,1150.0,B12,2225,"['Margaret', '’s', 'blood', 'leave', '-PRON-', 'body', '.']","['PROPN', 'PART', 'NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']","['NNP', 'POS', 'NN', 'VBZ', 'PRP$', 'NN', '.']","['poss', 'case', 'nsubj', 'ROOT', 'poss', 'dobj', 'punct']","['blood', 'Margaret', 'leaves', 'leaves', 'body', 'leaves', 'leaves']"
1153,1153,,1153,,,,B12,2225,[],[],[],[],[]
1154,1154,“Are we broke?”,1154,B12.15,2.0,1152.0,B12,2225,"['""', 'be', '-PRON-', 'broke', '?', '""']","['PUNCT', 'AUX', 'PRON', 'ADJ', 'PUNCT', 'PUNCT']","['``', 'VBP', 'PRP', 'JJ', '.', ""''""]","['punct', 'auxpass', 'nsubj', 'ROOT', 'punct', 'punct']","['broke', 'broke', 'broke', 'broke', 'broke', 'broke']"
1155,1155,“We’re not doing great.”,1155,B12.16,1.0,1154.0,B12,2225,"['""', '-PRON-', 'be', 'not', 'do', 'great', '.', '""']","['PUNCT', 'PRON', 'VERB', 'PART', 'VERB', 'ADJ', 'PUNCT', 'PUNCT']","['``', 'PRP', 'VBP', 'RB', 'VBG', 'JJ', '.', ""''""]","['punct', 'nsubj', 'aux', 'neg', 'ROOT', 'dobj', 'punct', 'punct']","['doing', 'doing', 'doing', 'doing', 'doing', 'doing', 'doing', 'doing']"
1156,1156,,1156,,,,B12,2225,[],[],[],[],[]
1157,1157,"She waits for him to continue, but he doesn’t.",1157,B12.17,2.0,1155.0,B12,2225,"['-PRON-', 'wait', 'for', '-PRON-', 'to', 'continue', ',', 'but', '-PRON-', 'do', 'not', '.']","['PRON', 'VERB', 'ADP', 'PRON', 'PART', 'VERB', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'PART', 'PUNCT']","['PRP', 'VBZ', 'IN', 'PRP', 'TO', 'VB', ',', 'CC', 'PRP', 'VBZ', 'RB', '.']","['nsubj', 'ROOT', 'mark', 'nsubj', 'aux', 'advcl', 'punct', 'cc', 'nsubj', 'conj', 'neg', 'punct']","['waits', 'waits', 'continue', 'continue', 'continue', 'waits', 'waits', 'waits', 'does', 'waits', 'does', 'does']"
1158,1158,,1158,,,,B12,2225,[],[],[],[],[]
1159,1159,"“I need one of your sleeping pills, ” he says.",1159,B12.18,2.0,1157.0,B12,2225,"['""', '-PRON-', 'need', 'one', 'of', '-PRON-', 'sleep', 'pill', ',', '""', '-PRON-', 'say', '.']","['PUNCT', 'PRON', 'VERB', 'NUM', 'ADP', 'DET', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'PUNCT']","['``', 'PRP', 'VBP', 'CD', 'IN', 'PRP$', 'VBG', 'NNS', ',', ""''"", 'PRP', 'VBZ', '.']","['punct', 'nsubj', 'ccomp', 'dobj', 'prep', 'poss', 'compound', 'pobj', 'punct', 'punct', 'nsubj', 'ROOT', 'punct']","['says', 'need', 'says', 'need', 'one', 'pills', 'pills', 'of', 'says', 'says', 'says', 'says', 'says']"
1160,1160,Margaret reaches for,1160,B12.19,1.0,1159.0,B12,2225,"['Margaret', 'reach', 'for']","['PROPN', 'VERB', 'ADP']","['NNP', 'VBZ', 'IN']","['nsubj', 'ROOT', 'prep']","['reaches', 'reaches', 'reaches']"
1161,1161,his hand.,1161,B12.19,1.0,1160.0,B12,2225,"['-PRON-', 'hand', '.']","['DET', 'NOUN', 'PUNCT']","['PRP$', 'NN', '.']","['poss', 'pobj', 'punct']","['hand', 'for', 'reaches']"
1162,1162,"“Money comes, money",1162,B12.20,1.0,1161.0,B12,2225,"['""', 'money', 'come', ',', 'money']","['PUNCT', 'NOUN', 'VERB', 'PUNCT', 'NOUN']","['``', 'NN', 'VBZ', ',', 'NN']","['punct', 'nsubj', 'ccomp', 'punct', 'nsubj']","['says', 'comes', 'goes', 'goes', 'goes']"
1163,1163,"goes,” she says.",1163,B12.20,1.0,1162.0,B12,2225,"['go', ',', '""', '-PRON-', 'say', '.']","['VERB', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'PUNCT']","['VBZ', ',', ""''"", 'PRP', 'VBZ', '.']","['ccomp', 'punct', 'punct', 'nsubj', 'ROOT', 'punct']","['says', 'says', 'says', 'says', 'says', 'says']"
1164,1164,“We’re both young. We can work.”,1164,B12.21,1.0,1163.0,B12,2225,"['""', '-PRON-', 'be', 'both', 'young', '.', '-PRON-', 'can', 'work', '.', '""']","['PUNCT', 'PRON', 'VERB', 'DET', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'VERB', 'PUNCT', 'PUNCT']","['``', 'PRP', 'VBP', 'DT', 'JJ', '.', 'PRP', 'MD', 'VB', '.', ""''""]","['punct', 'nsubj', 'ROOT', 'advmod', 'acomp', 'punct', 'nsubj', 'aux', 'ROOT', 'punct', 'punct']","['’re', '’re', '’re', '’re', '’re', '’re', 'work', 'work', 'work', 'work', 'work']"
1165,1165,He looks,1165,B12.22,1.0,1164.0,B12,2225,"['-PRON-', 'look']","['PRON', 'VERB']","['PRP', 'VBZ']","['nsubj', 'ROOT']","['looks', 'looks']"
1166,1166,at her.,1166,B12.22,1.0,1165.0,B12,2225,"['at', '-PRON-', '.']","['ADP', 'PRON', 'PUNCT']","['IN', 'PRP', '.']","['prep', 'pobj', 'punct']","['looks', 'at', 'looks']"
1167,1167,"He doesn’t feel young,",1167,B12.23,1.0,1166.0,B12,2225,"['-PRON-', 'do', 'not', 'feel', 'young', ',']","['PRON', 'AUX', 'PART', 'VERB', 'ADJ', 'PUNCT']","['PRP', 'VBZ', 'RB', 'VB', 'JJ', ',']","['nsubj', 'aux', 'neg', 'ROOT', 'acomp', 'punct']","['feel', 'feel', 'feel', 'feel', 'feel', 'feel']"
1168,1168,but he’s grateful.,1168,B12.23,1.0,1167.0,B12,2225,"['but', '-PRON-', '’', 'grateful', '.']","['CCONJ', 'PRON', 'VERB', 'ADJ', 'PUNCT']","['CC', 'PRP', 'VBZ', 'JJ', '.']","['cc', 'nsubj', 'conj', 'acomp', 'punct']","['feel', '’s', 'feel', '’s', '’s']"
1169,1169,,1169,,,,B12,2225,[],[],[],[],[]
1170,1170,,1170,,2.0,1168.0,B12,2225,[],[],[],[],[]
1171,1171,,1171,,1.0,1170.0,B12,2225,[],[],[],[],[]
1172,1172,,1172,,,,B12,2225,[],[],[],[],[]
1173,1173,"The bar is half dark, stinks",1173,A13.1,2.0,1171.0,A13,2225,"['the', 'bar', 'be', 'half', 'dark', ',', 'stink']","['DET', 'NOUN', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'VERB']","['DT', 'NN', 'VBZ', 'RB', 'JJ', ',', 'VBZ']","['det', 'nsubj', 'ROOT', 'advmod', 'acomp', 'punct', 'advcl']","['bar', 'is', 'is', 'dark', 'is', 'is', 'is']"
1174,1174,"of grief, sweat and wine.",1174,A13.1,1.0,1173.0,A13,2225,"['of', 'grief', ',', 'sweat', 'and', 'wine', '.']","['ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']","['IN', 'NN', ',', 'NN', 'CC', 'NN', '.']","['prep', 'pobj', 'punct', 'conj', 'cc', 'conj', 'punct']","['stinks', 'of', 'grief', 'grief', 'sweat', 'sweat', 'is']"
1175,1175,“Gary deserves so much,1175,A13.2,1.0,1174.0,A13,2225,"['""', 'Gary', 'deserve', 'so', 'much']","['PUNCT', 'PROPN', 'VERB', 'ADV', 'ADV']","['``', 'NNP', 'VBZ', 'RB', 'RB']","['punct', 'nsubj', 'ROOT', 'advmod', 'advmod']","['deserves', 'deserves', 'deserves', 'much', 'better']"
1176,1176,better than you!” Tommy's,1176,A13.2,1.0,1175.0,A13,2225,"['well', 'than', '-PRON-', '!', '""', 'Tommy', ""'s""]","['ADJ', 'SCONJ', 'PRON', 'PUNCT', 'PUNCT', 'PROPN', 'PART']","['JJR', 'IN', 'PRP', '.', ""''"", 'NNP', 'POS']","['acomp', 'prep', 'pobj', 'punct', 'punct', 'poss', 'case']","['deserves', 'better', 'than', 'deserves', 'deserves', 'yelling', 'Tommy']"
1177,1177,yelling at Clara.,1177,A13.2,1.0,1176.0,A13,2225,"['yelling', 'at', 'Clara', '.']","['NOUN', 'ADP', 'PROPN', 'PUNCT']","['NN', 'IN', 'NNP', '.']","['ROOT', 'prep', 'pobj', 'punct']","['yelling', 'yelling', 'at', 'yelling']"
1178,1178,Why is Tommy yelling at her?,1178,A13.3,1.0,1177.0,A13,2225,"['why', 'be', 'Tommy', 'yell', 'at', '-PRON-', '?']","['ADV', 'AUX', 'PROPN', 'VERB', 'ADP', 'PRON', 'PUNCT']","['WRB', 'VBZ', 'NNP', 'VBG', 'IN', 'PRP', '.']","['advmod', 'aux', 'nsubj', 'ROOT', 'prep', 'pobj', 'punct']","['yelling', 'yelling', 'yelling', 'yelling', 'yelling', 'at', 'yelling']"
1179,1179,“You look through his mail and you,1179,A13.4,1.0,1178.0,A13,2225,"['""', '-PRON-', 'look', 'through', '-PRON-', 'mail', 'and', '-PRON-']","['PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'PRON']","['``', 'PRP', 'VBP', 'IN', 'PRP$', 'NN', 'CC', 'PRP']","['punct', 'nsubj', 'ROOT', 'prep', 'poss', 'pobj', 'cc', 'nsubj']","['look', 'look', 'look', 'look', 'mail', 'through', 'look', 'nag']"
1180,1180,nag and you make him feel small...”,1180,A13.4,1.0,1179.0,A13,2225,"['nag', 'and', '-PRON-', 'make', '-PRON-', 'feel', 'small', '...', '""']","['VERB', 'CCONJ', 'PRON', 'VERB', 'PRON', 'VERB', 'ADJ', 'PUNCT', 'PUNCT']","['VBP', 'CC', 'PRP', 'VBP', 'PRP', 'VB', 'JJ', '.', ""''""]","['conj', 'cc', 'nsubj', 'conj', 'nsubj', 'ccomp', 'acomp', 'punct', 'punct']","['look', 'look', 'make', 'look', 'feel', 'make', 'feel', 'make', 'make']"
1181,1181,,1181,,,,A13,2225,[],[],[],[],[]
1182,1182,Tommy's drunk and so,1182,A13.5,2.0,1180.0,A13,2225,"['Tommy', ""'s"", 'drunk', 'and', 'so']","['PROPN', 'PART', 'ADJ', 'CCONJ', 'ADV']","['NNP', 'POS', 'JJ', 'CC', 'RB']","['poss', 'case', 'amod', 'cc', 'advmod']","['lands', 'Tommy', 'lands', 'drunk', 'angry']"
1183,1183,angry his spit lands,1183,A13.5,1.0,1182.0,A13,2225,"['angry', '-PRON-', 'spit', 'land']","['ADJ', 'DET', 'NOUN', 'NOUN']","['JJ', 'PRP$', 'NN', 'NNS']","['conj', 'poss', 'compound', 'ROOT']","['drunk', 'lands', 'lands', 'lands']"
1184,1184,on Clara’s black dress.,1184,A13.5,1.0,1183.0,A13,2225,"['on', 'Clara', '’s', 'black', 'dress', '.']","['ADP', 'PROPN', 'PART', 'ADJ', 'NOUN', 'PUNCT']","['IN', 'NNP', 'POS', 'JJ', 'NN', '.']","['prep', 'poss', 'case', 'amod', 'pobj', 'punct']","['lands', 'dress', 'Clara', 'dress', 'on', 'lands']"
1185,1185,“What do you want from me Tommy?”,1185,A13.6,1.0,1184.0,A13,2225,"['""', 'what', 'do', '-PRON-', 'want', 'from', '-PRON-', 'Tommy', '?', '""']","['PUNCT', 'PRON', 'AUX', 'PRON', 'VERB', 'ADP', 'PRON', 'PROPN', 'PUNCT', 'PUNCT']","['``', 'WP', 'VBP', 'PRP', 'VB', 'IN', 'PRP', 'NNP', '.', ""''""]","['punct', 'dobj', 'aux', 'nsubj', 'csubj', 'prep', 'pobj', 'ROOT', 'punct', 'punct']","['Tommy', 'want', 'want', 'want', 'Tommy', 'want', 'from', 'Tommy', 'Tommy', 'Tommy']"
1186,1186,"He's up in her face,",1186,A13.7,1.0,1185.0,A13,2225,"['-PRON-', 'be', 'up', 'in', '-PRON-', 'face', ',']","['PRON', 'AUX', 'ADP', 'ADP', 'DET', 'NOUN', 'PUNCT']","['PRP', 'VBZ', 'IN', 'IN', 'PRP$', 'NN', ',']","['nsubj', 'ccomp', 'advmod', 'prep', 'poss', 'pobj', 'punct']","[""'s"", 'want', ""'s"", 'up', 'face', 'in', 'want']"
1187,1187,“What do I want?!”,1187,A13.7,1.0,1186.0,A13,2225,"['""', 'what', 'do', '-PRON-', 'want', '?', '!', '""']","['PUNCT', 'PRON', 'AUX', 'PRON', 'VERB', 'PUNCT', 'PUNCT', 'PUNCT']","['``', 'WP', 'VBP', 'PRP', 'VB', '.', '.', ""''""]","['punct', 'dobj', 'aux', 'nsubj', 'ROOT', 'punct', 'punct', 'punct']","['want', 'want', 'want', 'want', 'want', 'want', 'want', 'want']"
