,tr,Sentence,tr,index,tr_shift,prev_tr,story_section,n_tokens,lemma,pos,tag,dep_rel,dep_head
59,59,"pearl necklace, her",59,B1.1,1.0,58.0,B1,2225,"['pearl', 'necklace', ',', '-PRON-']","['NOUN', 'NOUN', 'PUNCT', 'PRON']","['NN', 'NN', ',', 'PRP']","['compound', 'conj', 'punct', 'nsubj']","['necklace', 'clothes', 'necklace', 'controlled']"
60,60,"controlled, quiet elegance.",60,B1.1,1.0,59.0,B1,2225,"['control', ',', 'quiet', 'elegance', '.']","['VERB', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT']","['VBN', ',', 'JJ', 'NN', '.']","['amod', 'punct', 'amod', 'dobj', 'punct']","['elegance', 'elegance', 'elegance', 'get', 'watches']"
61,61,"""We cannot ignore this… We",61,B1.2,1.0,60.0,B1,2225,"['""', '-PRON-', 'can', 'not', 'ignore', 'this', '…', '-PRON-']","['PUNCT', 'PRON', 'VERB', 'PART', 'VERB', 'DET', 'PUNCT', 'PRON']","['``', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NFP', 'PRP']","['punct', 'nsubj', 'aux', 'neg', 'ccomp', 'dobj', 'punct', 'nsubj']","['be', 'ignore', 'ignore', 'ignore', 'be', 'ignore', 'be', 'be']"
62,62,"should be vigilant Steven…""",62,B1.2,1.0,61.0,B1,2225,"['should', 'be', 'vigilant', 'Steven', '…', '""']","['VERB', 'AUX', 'ADJ', 'PROPN', 'PUNCT', 'PUNCT']","['MD', 'VB', 'JJ', 'NNP', 'NFP', ""''""]","['aux', 'ROOT', 'amod', 'attr', 'punct', 'punct']","['be', 'be', 'Steven', 'be', 'be', 'be']"
63,63,Married 8 years he still,63,B1.3,1.0,62.0,B1,2225,"['married', '8', 'year', '-PRON-', 'still']","['ADJ', 'NUM', 'NOUN', 'PRON', 'ADV']","['JJ', 'CD', 'NNS', 'PRP', 'RB']","['ROOT', 'nummod', 'npadvmod', 'nsubj', 'advmod']","['Married', 'years', 'Married', 'believe', 'believe']"
64,64,can’t believe his good luck.,64,B1.3,1.0,63.0,B1,2225,"['can', 'not', 'believe', '-PRON-', 'good', 'luck', '.']","['VERB', 'PART', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['MD', 'RB', 'VB', 'PRP$', 'JJ', 'NN', '.']","['aux', 'neg', 'ROOT', 'poss', 'amod', 'dobj', 'punct']","['believe', 'believe', 'believe', 'luck', 'luck', 'believe', 'believe']"
65,65,,65,,,,B1,2225,[],[],[],[],[]
66,66,"""Steven, are you listening?""",66,B1.4,2.0,64.0,B1,2225,"['""', 'Steven', ',', 'be', '-PRON-', 'listen', '?', '""']","['PUNCT', 'PROPN', 'PUNCT', 'AUX', 'PRON', 'VERB', 'PUNCT', 'PUNCT']","['``', 'NNP', ',', 'VBP', 'PRP', 'VBG', '.', ""''""]","['punct', 'npadvmod', 'punct', 'aux', 'nsubj', 'ROOT', 'punct', 'punct']","['listening', 'listening', 'listening', 'listening', 'listening', 'listening', 'listening', 'listening']"
67,67,"Yes, yes… He",67,B1.5,1.0,66.0,B1,2225,"['yes', ',', 'yes', '…', '-PRON-']","['INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'PRON']","['UH', ',', 'UH', 'NFP', 'PRP']","['intj', 'punct', 'intj', 'punct', 'nsubj']","['listening', 'listening', 'listening', 'listening', 'listening']"
68,68,is listening…,68,B1.5,1.0,67.0,B1,2225,"['be', 'listen', '…']","['AUX', 'VERB', 'PUNCT']","['VBZ', 'VBG', 'NFP']","['aux', 'ROOT', 'punct']","['listening', 'listening', 'listening']"
69,69,“Sasha broke up with this guy and,69,B1.6,1.0,68.0,B1,2225,"['""', 'Sasha', 'break', 'up', 'with', 'this', 'guy', 'and']","['PUNCT', 'PROPN', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'CCONJ']","['``', 'NNP', 'VBD', 'RP', 'IN', 'DT', 'NN', 'CC']","['punct', 'nsubj', 'ROOT', 'prt', 'prep', 'det', 'pobj', 'cc']","['broke', 'broke', 'broke', 'broke', 'broke', 'guy', 'with', 'missing']"
70,70,"now I'm missing ten sleeping pills.""",70,B1.6,1.0,69.0,B1,2225,"['now', '-PRON-', 'be', 'miss', 'ten', 'sleep', 'pill', '.', '""']","['ADV', 'PRON', 'AUX', 'VERB', 'NUM', 'VERB', 'NOUN', 'PUNCT', 'PUNCT']","['RB', 'PRP', 'VBP', 'VBG', 'CD', 'VBG', 'NNS', '.', ""''""]","['advmod', 'nsubj', 'aux', 'ROOT', 'nummod', 'amod', 'dobj', 'punct', 'punct']","['missing', 'missing', 'missing', 'missing', 'pills', 'pills', 'missing', 'missing', 'missing']"
