Okay,okay,0.34,0.49
letter,letter,173.48,173.82
for,for,173.82,173.89
the,the,173.96,174.05
court,court,174.05,174.31
physician,physician,174.309999,174.849999
But,but,175.24,175.51000000000002
before,before,175.509999,176.109999
so,so,179.32999999999998,179.73
um,um,179.76,180.16
he,he,180.18,180.68
when,when,181.28,181.45
he,he,181.45,181.57
goes,goes,181.57,181.78
into,into,181.78,181.98
the,the,181.98,182.42
room,room,182.43,182.77
the,the,183.16,183.26
guy’s,guy's,183.26,183.63
standing,standing,183.64,183.98999999999998
on,on,183.99,184.08
top,top,184.08,184.31
of,of,184.5,184.81
like,like,184.86,185.15
a,a,185.82,185.85999999999999
balcony,balcony,185.86,186.31
kind,kind,186.31,186.49
of,of,186.49,186.59
thing,thing,186.59,186.88
and,and,187.25,187.65
um,,,
he,,,
startles,<unk>,187.68,188.42000000000002
him,him,188.42,188.61999999999998
so,so,188.63,189.09
the,the,189.889999,189.999999
court,court,190.0,190.24
physician,physician,190.24,190.65
he,he,190.65,190.75
falls,falls,190.809999,191.549999
But,but,191.77,191.97
before,before,192.07,192.4
he,he,192.4,192.64000000000001
can,can,192.639999,192.86999899999998
fall,fall,192.9,192.98000000000002
on,on,192.98,193.13
the,the,193.13,193.22
ground,ground,193.219999,193.57999900000002
um,um,194.87,195.08
Merlin,merlin,195.089999,195.559999
who,who,195.559999,195.749999
is,is,195.75,196.03
magical,magical,196.07,196.51999999999998
like,like,196.539999,196.699999
kind,kind,196.699999,196.83999899999998
of,of,196.84,196.91
catches,catches,196.91,197.27
him,him,197.27,197.48000000000002
and,and,197.48,197.59
slides,slides,197.77,198.04000000000002
the,the,198.039999,198.129999
bed,bed,198.129999,198.319999
under,under,198.32,198.53
him,him,198.539999,198.729999
so,so,199.13,199.28
he,he,199.28,199.44
lands,lands,199.44,199.92
on,on,199.95,200.23
it,it,200.23,200.44
nicely,nicely,200.45,201.03
Um,um,201.43,201.95000000000002
and,and,203.25000000000003,203.28000000000003
yeah,yeah,203.45,203.82
so,so,203.82,203.95999999999998
the,the,203.96,204.06
guy’s,guy's,204.06,204.49
shocked,shocked,204.92,205.35999999999999
at,at,205.37,205.5
first,,,
Merlin,merlin,205.78,206.1
tries,,,
to,to,206.74,206.83
pass,pass,206.83,207.14000000000001
it,it,207.139999,207.249999
off,off,207.25,207.48
as,as,207.48,207.7
like,like,207.71,207.94
he,,,
didn’t,,,
do,do,208.38,208.53
anything,anything,208.53,208.92
and,and,208.929999,208.969999
then,,,
later,later,209.62,209.9
just,just,209.9,209.97
admits,,,
that,,,
he,,,
was,was,210.57,210.73
born,born,210.74,211.02
with,with,211.02,211.19
magic,magic,211.389999,211.909999
So,so,213.549999,213.689999
he,he,213.69,213.85999999999999
hands,hands,213.86,214.16000000000003
the,the,214.16,214.25
guy,guy,214.25,214.79
the,the,214.809999,215.309999
um,um,215.35,215.82999999999998
letter,letter,216.49,217.04000000000002
and,and,217.39,217.61999999999998
then,then,217.62,218.08
um,um,218.12,218.68
the,the,219.16,219.22
guy,guy,219.22,219.4
tells,tells,219.4,219.65
him,him,219.65,219.76000000000002
to,to,219.76,219.81
like,like,220.09,220.42000000000002
go,go,220.7,221.03
Uh,uh,221.75,222.15
somewhere,somewhere,222.19,223.07
soon,soon,223.58,223.95000000000002
or,or,223.95,224.1
before,before,224.15,224.8
there’s,there's,225.139999,225.359999
a,a,225.36,225.46
scene,scene,225.46,225.79000000000002
with,with,225.79,225.98
the,the,226.23,226.39
woman,woman,226.91,227.25
that,that,227.25,227.38
we,we,227.38,227.53
saw,saw,227.53,227.77
in,in,227.77,227.89000000000001
the,the,227.889999,228.01999899999998
window,window,228.02,228.52
earlier,earlier,228.57,229.17
Um,um,229.559999,230.009999
turns,turns,230.61,230.82000000000002
out,out,230.82,230.93
she’s,she's,230.99,231.46
some,some,232.059999,232.38999900000002
kind,kind,232.469999,232.639999
of,of,232.639999,232.76999899999998
daughter,daughter,232.809999,233.259999
of,of,233.26,233.42
the,the,233.42000000000002,233.52
king,king,233.52,233.95000000000002
And,and,234.4,234.96
uh,uh,234.97,235.49
so,so,239.02,239.04000000000002
the,the,239.21,239.35
king,king,239.35,239.72
is,is,239.73,240.31
um,um,240.34,240.87
just,just,241.92000000000002,241.96
annoyed,annoyed,242.13,242.54999999999998
at,at,242.55,242.75
all,all,242.849999,243.069999
this,this,243.07,243.23999999999998
magic,magic,243.24,243.62
stuff,stuff,243.62,243.87
and,and,243.87,244.02
the,the,244.28,244.54
daughter,daughter,244.54,244.89
is,is,244.889999,245.02999899999998
annoyed,annoyed,245.03,245.34
at,at,245.34,245.46
how,how,245.46,245.88
brutal,brutal,246.3,246.68
the,the,246.679999,246.779999
king,king,246.78,247.01
was,was,247.009999,247.199999
with,with,247.21,247.33
everything,everything,247.33,247.81
and,and,247.809999,247.939999
doesn’t,,,
um,um,248.63,249.01999999999998
tells,tells,249.059999,249.339999
himself,himself,249.339999,249.899999
And,and,250.24,250.42000000000002
then,then,250.42000000000002,250.73000000000002
he,he,251.139999,251.569999
orders,orders,251.57,251.97
her,her,251.969999,252.119999
to,to,252.119999,252.319999
see,see,252.4,253.02
uh,uh,253.04,253.48999999999998
some,some,253.92,254.10999999999999
sort,sort,254.11,254.29000000000002
of,of,254.29,254.45999999999998
singer,singer,254.53,255.07
or,or,255.08,255.09
something,something,255.09,255.57
and,and,255.57,255.76
she,,,
at,,,
first,,,
refuses,,,
but,,,
then,,,
he,he,256.16,256.43
gets,gets,256.43,256.47
angry,angry,258.16,258.78000000000003
so,so,259.13,259.8
she,she,260.09,260.21
does,does,260.21,260.4
it,it,260.4,260.58
Um,um,261.84,262.25
then,then,263.08,263.11
we,we,263.28,263.53999999999996
see,see,263.54,263.95000000000005
the,the,264.12,264.66
court,court,264.679999,264.909999
physician,physician,264.91,265.36
reading,reading,265.36,265.74
the,the,265.74,265.88
letter,letter,265.88,266.23
that,that,266.23,266.39000000000004
he,he,266.389999,266.559999
